id,movie_id,user_id,rating
0,242,196,1.0
1,302,186,1.0
2,377,22,1.0
3,51,244,1.0
4,346,166,1.0
5,474,298,1.0
6,265,115,1.0
7,465,253,1.0
8,451,305,1.0
9,86,6,1.0
10,257,62,1.0
11,1014,286,1.0
12,222,200,1.0
13,40,210,1.0
14,29,224,1.0
15,785,303,1.0
16,387,122,1.0
17,274,194,1.0
18,1042,291,1.0
19,1184,234,1.0
20,392,119,1.0
21,486,167,1.0
22,144,299,1.0
23,118,291,1.0
24,1,308,1.0
25,546,95,1.0
26,95,38,1.0
27,768,102,1.0
28,277,63,1.0
29,234,160,1.0
30,246,50,1.0
31,98,301,1.0
32,193,225,1.0
33,88,290,1.0
34,194,97,1.0
35,274,157,1.0
36,1081,181,1.0
37,603,278,1.0
38,796,276,1.0
39,32,7,1.0
40,16,10,1.0
41,304,284,1.0
42,979,201,1.0
43,564,276,1.0
44,327,287,1.0
45,201,246,1.0
46,1137,242,1.0
47,241,249,1.0
48,4,99,1.0
49,332,178,1.0
50,100,251,1.0
51,432,81,1.0
52,322,260,1.0
53,181,25,1.0
54,196,59,1.0
55,679,72,1.0
56,384,87,1.0
57,143,290,1.0
58,423,42,1.0
59,515,292,1.0
60,20,115,1.0
61,288,20,1.0
62,219,201,1.0
63,526,13,1.0
64,919,246,1.0
65,26,138,1.0
66,232,167,1.0
67,427,60,1.0
68,304,57,1.0
69,274,223,1.0
70,512,189,1.0
71,15,243,1.0
72,1049,92,1.0
73,416,246,1.0
74,165,194,1.0
75,690,241,1.0
76,248,178,1.0
77,1444,254,1.0
78,5,293,1.0
79,229,127,1.0
80,237,225,1.0
81,229,299,1.0
82,480,225,1.0
83,54,276,1.0
84,144,291,1.0
85,366,222,1.0
86,518,267,1.0
87,403,42,1.0
88,111,11,1.0
89,625,95,1.0
90,338,8,1.0
91,25,162,1.0
92,1016,87,1.0
93,154,279,1.0
94,275,145,1.0
95,1153,119,1.0
96,498,62,1.0
97,382,62,1.0
98,209,28,1.0
99,23,135,1.0
100,294,32,1.0
101,382,90,1.0
102,208,286,1.0
103,685,293,1.0
104,144,216,1.0
105,328,166,1.0
106,496,250,1.0
107,132,271,1.0
108,174,160,1.0
109,118,265,1.0
110,498,198,1.0
111,96,42,1.0
112,151,168,1.0
113,307,110,1.0
114,144,58,1.0
115,648,90,1.0
116,346,271,1.0
117,21,62,1.0
118,832,279,1.0
119,514,237,1.0
120,789,94,1.0
121,485,128,1.0
122,317,298,1.0
123,195,44,1.0
124,200,264,1.0
125,385,194,1.0
126,195,72,1.0
127,750,222,1.0
128,264,250,1.0
129,265,41,1.0
130,245,224,1.0
131,135,82,1.0
132,1147,262,1.0
133,471,293,1.0
134,658,216,1.0
135,140,250,1.0
136,23,59,1.0
137,379,286,1.0
138,815,244,1.0
139,479,7,1.0
140,368,174,1.0
141,274,87,1.0
142,1211,194,1.0
143,1134,82,1.0
144,836,13,1.0
145,272,13,1.0
146,756,244,1.0
147,427,305,1.0
148,787,95,1.0
149,14,43,1.0
150,955,299,1.0
151,419,57,1.0
152,405,84,1.0
153,504,269,1.0
154,111,299,1.0
